movie_quote,movie_name,movie_star
人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,"青蛇, / Green Snake",8.4
出门必备：本草纲目。,"荒野生存, / Into the Wild, / 浪荡天涯(港)  /  阿拉斯加之死(台)",8.6
想你时你在闹海。,"哪吒闹海, / Prince Nezha's Triumph Against Dragon King  /  Nezha nao hai",8.8
与同名歌曲无关。,"卡萨布兰卡, / Casablanca, / 北非谍影(港)  /  卡萨布兰卡",8.6
少见的超越首部的续集，动作片中的经典。,"终结者2：审判日, / Terminator 2: Judgment Day, / 终结者2  /  终结者2：末日审判",8.5
养狗三日，便会对你终其一生。,"忠犬八公物语, / ハチ公物語, / 八千公物语  /  阿八的故事",9.0
科幻真正的魅力不是视觉效果能取代的。 ,"这个男人来自地球, / The Man from Earth, / 地球不死人(港)  /  这个人来自洞穴",8.5
现实与童话交相辉映的旅程。,"燕尾蝶, / スワロウテイル, / Swallowtail Butterfly  /  Suwarôteiru",8.6
当发哥的风衣、墨镜出现在了凯奇身上⋯⋯,"变脸, / Face/Off, / 夺面双雄",8.4
邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,"源代码, / Source Code, / 启动原始码(台)  /  危机解密(港)",8.3
嬉笑怒骂，调风动月。,"新龙门客栈, / 新龍門客棧, / New Dragon Gate Inn",8.4
"In memory, love lives forever...","英国病人, / The English Patient, / 英伦情人(台)  /  别问我是谁(港)",8.4
最棒的西部片。,"黄金三镖客, / Il buono, il brutto, il cattivo., / 好·坏·丑  /  独行侠决斗地狱门(港)",9.1
生病的E.T.皮肤的颜色就像柿子饼。,"E.T. 外星人, / E.T.: The Extra-Terrestrial, / 外星人E.T.  /  外星人",8.5
不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,"黑客帝国3：矩阵革命, / The Matrix Revolutions, / 骇客任务完结篇：最后战役  /  廿二世纪杀人网络3：惊变世纪",8.5
我完全康复了。,"发条橙, / A Clockwork Orange, / 发条桔子  /  发条橙子",8.4
永远的小人物，伟大的卓别林。,"城市之光, / City Lights, / City Lights: A Comedy Romance in Pantomime  /  Lichter der Großstadt",9.2
每个人的内心都是深不可测的大海。 ,"美国丽人, / American Beauty, / 美丽有罪(港)  /  美国心·玫瑰情(台)",8.4
乐观比一切都有力量。,"叫我第一名, / Front of the Class, / 开放有爱  /  站在教室前",8.6
昆汀同学越来越变态了，比北野武还杜琪峰。,"无耻混蛋, / Inglourious Basterds, / 恶棍特工(台)  /  希魔撞正杀人狂(港)",8.4
大卫·林奇的梦境迷宫。,"穆赫兰道, / Mulholland Dr., / 穆荷兰大道(台)  /  失忆大道(港)",8.3
我不信仰上帝，但我敬畏上帝。,"非常嫌疑犯, / The Usual Suspects, / 刺激惊爆点(台)  /  普通嫌疑犯",8.6
黑小鸭速效美白记。,"初恋这件小事, / สิ่งเล็กเล็กที่เรียกว่า...รัก, / 初恋那件小事(港)  /  暗恋那点小事",8.2
他给机器起名“克里斯托弗”，因为这是他初恋的名字。,"模仿游戏, / The Imitation Game, / 模拟游戏  /  解码游戏",8.5
热血沸腾，相当完美的娱乐拳击大餐。,"勇士, / Warrior, / 勇者无敌(台)  /  钢铁斗士(港)",8.9
纯净原始的笑与感动。,"上帝也疯狂, / The Gods Must Be Crazy, / 众神也疯狂 (上)  /  上帝一定发疯了 (上)",8.6
青春的窃窃私语。 ,"蓝色大门, / 藍色大門, / 蓝色夏恋  /  Blue Gate Crossing",8.3
所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,"爱在午夜降临前, / Before Midnight, / 爱在午夜希腊时(台)  /  情约半生(港)",8.8
献给所有外婆的电影。,"爱·回家, / 집으로..., / 外婆的家  /  回家路上",9.0
迪士尼和皮克斯拿错剧本的产物。,"无敌破坏王, / Wreck-It Ralph, / 破坏王拉尔夫  /  破坏王大冒险",8.6
被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,"房间, / Room, / 不存在的房间(台)  /  抖室(港)",8.8
